Href,ArticleTitle,DateRetrieved,Content,WebSiteName
https://news.google.com/articles/CAIiEF9VMLnm4bG_jWLA6jxAPvYqMwgEKioIACIQ393RkvRGXGeJPCm3hQ68YioUCAoiEN_d0ZL0RlxniTwpt4UOvGIw78fLBg?hl=en-GB&gl=GB&ceid=GB%3Aen,Former Norton boss Stuart Garner 'acted dishonestly' says Pensions Ombudsman,06/26/2020 00:00:00,Hobbies,Motorcycle News
https://news.google.com/articles/CAIiEAesjSgcn7C6Mbdh4VN8pu4qMwgEKioIACIQ393RkvRGXGeJPCm3hQ68YioUCAoiEN_d0ZL0RlxniTwpt4UOvGIw78fLBg?hl=en-GB&gl=GB&ceid=GB%3Aen,Blowing hot and cold: Indian reveal plans for cooling and heated seats,06/26/2020 00:00:00,Hobbies,Motorcycle News
https://news.google.com/articles/CAIiEG2nRjmHjPGTLJwofl_Gn70qMwgEKioIACIQ393RkvRGXGeJPCm3hQ68YioUCAoiEN_d0ZL0RlxniTwpt4UOvGIw78fLBg?hl=en-GB&gl=GB&ceid=GB%3Aen,40mph speed limit proposed for the A542 Horseshoe Pass in Wales,06/26/2020 00:00:00,Hobbies,Motorcycle News
https://news.google.com/articles/CBMiE2h0dHBzOi8vZGl5bWFnLmNvbS_SAQA?hl=en-GB&gl=GB&ceid=GB%3Aen,Set Music Free | DIY,06/26/2020 00:00:00,Hobbies,DIY Magazine
https://news.google.com/articles/CBMiS2h0dHBzOi8vZGl5bWFnLmNvbS8yMDIwLzA2LzI2L3dhdGNoLWJyaW5nLW1lLXRoZS1ob3Jpem9uLXBhcmFzaXRlLWV2ZS12aWRlb9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen,Bring Me The Horizon unleash new track 'Parasite Eve',06/26/2020 00:00:00,Hobbies,DIY Magazine
https://news.google.com/articles/CBMiRWh0dHBzOi8vZGl5bWFnLmNvbS8yMDIwLzA2LzI1L2hhaW0td29tZW4taW4tbXVzaWMtcHQtaWlpLWFsYnVtLXJldmlld9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen,Album Review HAIM - Women In Music Pt. III,06/26/2020 00:00:00,Hobbies,DIY Magazine
https://news.google.com/articles/CAIiEKa1f-UHKAT2E0-L7jjMTCEqGQgEKhAIACoHCAow2LCYCzDvurADMNXZ0AY?hl=en-GB&gl=GB&ceid=GB%3Aen,Grabban double fires Forest past Huddersfield,06/28/2020 00:00:00,Sport,Sky Sports
https://news.google.com/articles/CAIiEKFn0yEJ2SaOX1qqsBLvxT8qGQgEKhAIACoHCAow2LCYCzDvurADMNXZ0AY?hl=en-GB&gl=GB&ceid=GB%3Aen,Late Ceballos strike sends Arsenal to Wembley,06/28/2020 00:00:00,Sport,Sky Sports
https://news.google.com/articles/CAIiEB5cQOM7672nBpJmqvHILW0qGQgEKhAIACoHCAow2LCYCzDvurADMNXZ0AY?hl=en-GB&gl=GB&ceid=GB%3Aen,Supplement: Title side 'one of best in Liverpool history',06/28/2020 00:00:00,Sport,Sky Sports
https://news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9mb290YmFsbC81MTY2NTI2NNIBAA?hl=en-GB&gl=GB&ceid=GB%3Aen,Liverpool quiz: Which player is the king of Instagram?,06/28/2020 00:00:00,Sport,BBC Sport
